Variable,Position,Label,Values,Sublabels,Measurement Level,Role,Column Width,Alignment,Print Format,Write Format,Missing Values
Q2h,17,2h. Seed company representative,"0,
1","No,
Yes",Nominal,Input,12,Right,F12,F12,9
Q2i,18,2i. Independent/private crop adviser or agronomist,"0,
1","No,
Yes",Nominal,Input,12,Right,F12,F12,9
Q2j,19,2j. Other farmers,"0,
1","No,
Yes",Nominal,Input,12,Right,F12,F12,9
Q2k,20,k. Other (Please specify),"0,
1","No,
Yes",Nominal,Input,12,Right,F12,F12,9
Q3a,21,3a. Is there an active watershed management group in the watershed?,"1,
2,
3","Yes,
No,
Don't know",Nominal,Input,12,Right,F12,F12,9
Q3b,22,3b. Are local farmers involved in organized watershed management activities?,"1,
2,
3","Yes,
No,
Don't know",Nominal,Input,12,Right,F12,F12,9
Q3c,23,3c. Are local non-farming residents involved in organized watershed management activities?,"1,
2,
3","Yes,
No,
Don't know",Nominal,Input,12,Right,F12,F12,9
Q3d,24,3d. Are you involved in organized watershed management activities?,"1,
2,
3","Yes,
No,
Don't know",Nominal,Input,12,Right,F12,F12,9
Q3e,25,"3e. Does any of the land you farm border any creeks, streams, rivers, or lakes?","1,
2,
3","Yes,
No,
Don't know",Nominal,Input,12,Right,F12,F12,9
Q4a,26,4a. I would like to improve conservation practices on the land I farm to help meet the Nutrient Reduction Strategy’s goals.,"1,
2,
3,
4,
5","Strongly disagree,
Disagree,
Uncertain,
Agree,
Strongly agree",Nominal,Input,12,Right,F12,F12,9
Q4b,27,4b. I don’t know how well my farm operation is doing in terms of keeping nutrients out of waterways.,"1,
2,
3,
4,
5","Strongly disagree,
Disagree,
Uncertain,
Agree,
Strongly agree",Nominal,Input,12,Right,F12,F12,9
Q4c,28,4c. Fertilizer and ag chemical dealers should do more to help farmers address nutrient losses into waterways.,"1,
2,
3,
4,
5","Strongly disagree,
Disagree,
Uncertain,
Agree,
Strongly agree",Nominal,Input,12,Right,F12,F12,9
Q4d,29,4d. I am concerned about agriculture’s impacts on Iowa’s water quality.,"1,
2,
3,
4,
5","Strongly disagree,
Disagree,
Uncertain,
Agree,
Strongly agree",Nominal,Input,12,Right,F12,F12,9
Q4e,30,"4e. Nutrients from Iowa farms contribute to water quality problems (e.g., hypoxia) in the Gulf of Mexico.","1,
2,
3,
4,
5","Strongly disagree,
Disagree,
Uncertain,
Agree,
Strongly agree",Nominal,Input,12,Right,F12,F12,9
Q4f,31,4f. Iowa farmers should do more to reduce nutrient and sediment run-off into waterways.,"1,
2,
3,
4,
5","Strongly disagree,
Disagree,
Uncertain,
Agree,
Strongly agree",Nominal,Input,12,Right,F12,F12,9
Q4g,32,4g. I would be willing to have someone help me evaluate how my farm operation is doing in terms of keeping nutrients out of waterways.,"1,
2,
3,
4,
5","Strongly disagree,
Disagree,
Uncertain,
Agree,
Strongly agree",Nominal,Input,12,Right,F12,F12,9
Q4h,33,4h. Helping to meet the Nutrient Reduction Strategy’s goals is a high priority for me.,"1,
2,
3,
4,
5","Strongly disagree,
Disagree,
Uncertain,
Agree,
Strongly agree",Nominal,Input,12,Right,F12,F12,9
Q4i,34,"4i. In general, landlords are willing to help farmers address nutrient loss from the farmland they rent.","1,
2,
3,
4,
5","Strongly disagree,
Disagree,
Uncertain,
Agree,
Strongly agree",Nominal,Input,12,Right,F12,F12,9
Q4j,35,4j. I am concerned about potential water quality regulations targeting agriculture.,"1,
2,
3,
4,
5","Strongly disagree,
Disagree,
Uncertain,
Agree,
Strongly agree",Nominal,Input,12,Right,F12,F12,9
Q4k,36,4k. The nutrient management practices I use are sufficient to prevent loss of nutrients into waterways.,"1,
2,
3,
4,
5","Strongly disagree,
Disagree,
Uncertain,
Agree,
Strongly agree",Nominal,Input,12,Right,F12,F12,9
Q4l,37,"4l. If society wants inexpensive, abundant food, people have to be willing to deal with some impacts on water quality","1,
2,
3,
4,
5","Strongly disagree,
Disagree,
Uncertain,
Agree,
Strongly agree",Nominal,Input,12,Right,F12,F12,9
Q4m,38,4m. I am already doing all that I can to reduce nutrient loss from my farm into waterways.,"1,
2,
3,
4,
5","Strongly disagree,
Disagree,
Uncertain,
Agree,
Strongly agree",Nominal,Input,12,Right,F12,F12,9
Q4n,39,"4n. I am concerned about Iowa’s contribution to water quality problems (e.g., hypoxia) in the Gulf of Mexico.","1,
2,
3,
4,
5","Strongly disagree,
Disagree,
Uncertain,
Agree,
Strongly agree",Nominal,Input,12,Right,F12,F12,9
Q5A1,40,5a1. Cover crops-2014,"1,
2,
3","Not used in 201X, no plans to use it,
Not used in 201X, might use it in the future,
I used the practice in 201X",Nominal,Input,12,Right,F12,F12,9
Q5A2,41,5a2. Cover crops-Years Used,"1,
2,
3","1-3 years,
Over 3 years,
NA, practiced not used in 201X",Nominal,Input,12,Right,F12,F12,9
Q5A3,42,5a3. Cover crops-Acres,0,"NA, practice not used in 201X",Scale,Input,12,Right,F12,F12,99999
Q5B1,43,5b1. No till (all years of rotation)-2014,"1,
2,
3","Not used in 201X, no plans to use it,
Not used in 201X, might use it in the future,
I used the practice in 201X",Nominal,Input,12,Right,F12,F12,9
Q5B2,44,5b2. No till (all years of rotation)-Years Used,"1,
2,
3","1-3 years,
Over 3 years,
NA, practiced not used in 201X",Nominal,Input,12,Right,F12,F12,9
Q5B3,45,5b3. No till (all years of rotation)-Acres,0,"NA, practice not used in 201X",Scale,Input,12,Right,F12,F12,99999
Q5C1,46,5c1. Intermittent no till-2014,"1,
2,
3","Not used in 201X, no plans to use it,
Not used in 201X, might use it in the future,
I used the practice in 201X",Nominal,Input,12,Right,F12,F12,9
Q5C2,47,5c2. Intermittent no till-Years Used,"1,
2,
3","1-3 years,
Over 3 years,
NA, practiced not used in 201X",Nominal,Input,12,Right,F12,F12,9
Q5C3,48,5c3. Intermittent no till-Acres,0,"NA, practice not used in 201X",Scale,Input,12,Right,F12,F12,99999
Q5D1,49,5d1. Strip tillage-2014,"1,
2,
3","Not used in 201X, no plans to use it,
Not used in 201X, might use it in the future,
I used the practice in 201X",Nominal,Input,12,Right,F12,F12,9
Q5D2,50,5d2. Strip tillage-Years Used,"1,
2,
3","1-3 years,
Over 3 years,
NA, practiced not used in 201X",Nominal,Input,12,Right,F12,F12,9
Q5D3,51,5d3. Strip tillage-Acres,0,"NA, practice not used in 201X",Scale,Input,12,Right,F12,F12,99999
Q5E1,52,"5e1. Conservation tillage, excluding no till and strip tillage-2014","1,
2,
3","Not used in 201X, no plans to use it,
Not used in 201X, might use it in the future,
I used the practice in 201X",Nominal,Input,12,Right,F12,F12,9
Q5E2,53,"5e2. Conservation tillage, excluding no till and strip tillage-Years Used","1,
2,
3","1-3 years,
Over 3 years,
NA, practiced not used in 201X",Nominal,Input,12,Right,F12,F12,9
Q5E3,54,"5e3. Conservation tillage, excluding no till and strip tillage-Acres",0,"NA, practice not used in 201X",Scale,Input,12,Right,F12,F12,99999
Q5F1,55,"5f1. Tile, ditches or other drainage-2014","1,
2,
3","Not used in 201X, no plans to use it,
Not used in 201X, might use it in the future,
I used the practice in 201X",Nominal,Input,12,Right,F12,F12,9
Q5F2,56,"5f2. Tile, ditches or other drainage-Years Used","1,
2,
3","1-3 years,
Over 3 years,
NA, practiced not used in 201X",Nominal,Input,12,Right,F12,F12,9
Q5F3,57,"5f3. Tile, ditches or other drainage-Acres",0,"NA, practice not used in 201X",Scale,Input,12,Right,F12,F12,99999
Q5G1,58,5g1. Fall nitrogen application-2014,"1,
2,
3","Not used in 201X, no plans to use it,
Not used in 201X, might use it in the future,
I used the practice in 201X",Nominal,Input,12,Right,F12,F12,9
Q5G2,59,5g2. Fall nitrogen application-Years Used,"1,
2,
3","1-3 years,
Over 3 years,
NA, practiced not used in 201X",Nominal,Input,12,Right,F12,F12,9
Q5G3,60,5g3. Fall nitrogen application-Acres,0,"NA, practice not used in 201X",Scale,Input,12,Right,F12,F12,99999
Q5H1,61,5h1. Spring nitrogen application-2014,"1,
2,
3","Not used in 201X, no plans to use it,
Not used in 201X, might use it in the future,
I used the practice in 201X",Nominal,Input,12,Right,F12,F12,9
Q5H2,62,5h2. Spring nitrogen application-Years Used,"1,
2,
3","1-3 years,
Over 3 years,
NA, practiced not used in 201X",Nominal,Input,12,Right,F12,F12,9
Q5H3,63,5h3. Spring nitrogen application-Acres,0,"NA, practice not used in 201X",Scale,Input,12,Right,F12,F12,99999
Q5I1,64,"5i1. Growing season nitrogen application (i.e., side-dress)-2014","1,
2,
3","Not used in 201X, no plans to use it,
Not used in 201X, might use it in the future,
I used the practice in 201X",Nominal,Input,12,Right,F12,F12,9
Q5I2,65,"5i2. Growing season nitrogen application (i.e., side-dress)-Years Used","1,
2,
3","1-3 years,
Over 3 years,
NA, practiced not used in 201X",Nominal,Input,12,Right,F12,F12,9
Q5I3,66,"5i3. Growing season nitrogen application (i.e., side-dress)-Acres",0,"NA, practice not used in 201X",Scale,Input,12,Right,F12,F12,99999
Q5J1,67,5j1. Manure used as fertilizer-2014,"1,
2,
3","Not used in 201X, no plans to use it,
Not used in 201X, might use it in the future,
I used the practice in 201X",Nominal,Input,12,Right,F12,F12,9
Q5J2,68,5j2. Manure used as fertilizer-Years Used,"1,
2,
3","1-3 years,
Over 3 years,
NA, practiced not used in 201X",Nominal,Input,12,Right,F12,F12,9
Q5J3,69,5j3. Manure used as fertilizer-Acres,0,"NA, practice not used in 201X",Scale,Input,12,Right,F12,F12,99999
Q5K1,70,5k1. Variable rate N application-2014,"1,
2,
3","Not used in 201X, no plans to use it,
Not used in 201X, might use it in the future,
I used the practice in 201X",Nominal,Input,12,Right,F12,F12,9
Q5K2,71,5k2. Variable rate N application-Years Used,"1,
2,
3","1-3 years,
Over 3 years,
NA, practiced not used in 201X",Nominal,Input,12,Right,F12,F12,9
Q5K3,72,5k3. Variable rate N application-Acres,0,"NA, practice not used in 201X",Scale,Input,12,Right,F12,F12,99999
Q5L1,73,5l1. Nitrogen rate based on Corn N rage calculator (MRTN)-2014,"1,
2,
3","Not used in 201X, no plans to use it,
Not used in 201X, might use it in the future,
I used the practice in 201X",Nominal,Input,12,Right,F12,F12,9
Q5L2,74,5l2. Nitrogen rate based on Corn N rage calculator (MRTN)-Years Used,"1,
2,
3","1-3 years,
Over 3 years,
NA, practiced not used in 201X",Nominal,Input,12,Right,F12,F12,9
Q5L3,75,5l3. Nitrogen rate based on Corn N rage calculator (MRTN)-Acres,0,"NA, practice not used in 201X",Scale,Input,12,Right,F12,F12,99999
Q5M1,76,"5m1. Nitrogen stabilizer (e.g., N-SERVE)-2014","1,
2,
3","Not used in 201X, no plans to use it,
Not used in 201X, might use it in the future,
I used the practice in 201X",Nominal,Input,12,Right,F12,F12,9
Q5M2,77,"5m2. Nitrogen stabilizer (e.g., N-SERVE)-Years Used","1,
2,
3","1-3 years,
Over 3 years,
NA, practiced not used in 201X",Nominal,Input,12,Right,F12,F12,9
Q5M3,78,"5m3. Nitrogen stabilizer (e.g., N-SERVE)-Acres",0,"NA, practice not used in 201X",Scale,Input,12,Right,F12,F12,99999
Q5N1,79,"5n1. Cropland converted to perennial crops (e.g., hay, pasture, trees)-2014","1,
2,
3","Not used in 201X, no plans to use it,
Not used in 201X, might use it in the future,
I used the practice in 201X",Nominal,Input,12,Right,F12,F12,9
Q5N2,80,"5n2. Cropland converted to perennial crops (e.g., hay, pasture, trees)-Years Used","1,
2,
3","1-3 years,
Over 3 years,
NA, practiced not used in 201X",Nominal,Input,12,Right,F12,F12,9
Q5N3,81,"5n3. Cropland converted to perennial crops (e.g., hay, pasture, trees)-Acres",0,"NA, practice not used in 201X",Scale,Input,12,Right,F12,F12,99999
Q5O1,82,5o1. Extended rotations (3 or more crops over a 3-5 year rotation)-2014,"1,
2,
3","Not used in 201X, no plans to use it,
Not used in 201X, might use it in the future,
I used the practice in 201X",Nominal,Input,12,Right,F12,F12,9
Q5O2,83,5o2. Extended rotations (3 or more crops over a 3-5 year rotation)-Years Used,"1,
2,
3","1-3 years,
Over 3 years,
NA, practiced not used in 201X",Nominal,Input,12,Right,F12,F12,9
Q5P1,84,"5p1. In-field buffer strips (e.g., contour) to filter nutrients and sediment)-2014","1,
2,
3","Not used in 201X, no plans to use it,
Not used in 201X, might use it in the future,
I used the practice in 201X",Nominal,Input,12,Right,F12,F12,9
Q5P2,85,"5p2. In-field buffer strips (e.g., contour) to filter nutrients and sediment)-Years Used","1,
2,
3","1-3 years,
Over 3 years,
NA, practiced not used in 201X",Nominal,Input,12,Right,F12,F12,9
Q5Q1,86,5q1. Buffers along streams or field edges to filter nutrients and sediment from runoff-2014,"1,
2,
3","Not used in 201X, no plans to use it,
Not used in 201X, might use it in the future,
I used the practice in 201X",Nominal,Input,12,Right,F12,F12,9
Q5Q2,87,5q2. Buffers along streams or field edges to filter nutrients and sediment from runoff-Years Used,"1,
2,
3","1-3 years,
Over 3 years,
NA, practiced not used in 201X",Nominal,Input,12,Right,F12,F12,9
Q5R1,88,5r1. Bioreactors-2014,"1,
2,
3","Not used in 201X, no plans to use it,
Not used in 201X, might use it in the future,
I used the practice in 201X",Nominal,Input,12,Right,F12,F12,9
Q5R2,89,5r2. Bioreactors-Years Used,"1,
2,
3","1-3 years,
Over 3 years,
NA, practiced not used in 201X",Nominal,Input,12,Right,F12,F12,9
Q5S1,90,5s1. Pond(s)/sedimentation basin(s)-2014,"1,
2,
3","Not used in 201X, no plans to use it,
Not used in 201X, might use it in the future,
I used the practice in 201X",Nominal,Input,12,Right,F12,F12,9
Q5S2,91,5s2. Pond(s)/sedimentation basin(s)-Years Used,"1,
2,
3","1-3 years,
Over 3 years,
NA, practiced not used in 201X",Nominal,Input,12,Right,F12,F12,9
Q5T1,92,5t1. Terraces-2014,"1,
2,
3","Not used in 201X, no plans to use it,
Not used in 201X, might use it in the future,
I used the practice in 201X",Nominal,Input,12,Right,F12,F12,9
Q5T2,93,5t2. Terraces-Years Used,"1,
2,
3","1-3 years,
Over 3 years,
NA, practiced not used in 201X",Nominal,Input,12,Right,F12,F12,9
Q6A1,94,6a1. Cover crops-Risk,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6A2,95,6a2. Cover crops-Cost,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6A3,96,6a3. Cover crops-Don't know enough,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6A4,97,6a4. Cover crops-NA,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6A5,98,6a5. Cover crops-Rented,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,8,Right,F8,F8,9
Q6A6,99,6a6. Cover crops-Other,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6B1,100,6b1. No till (all years of rotation)-Risk,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6B2,101,6b2. No till (all years of rotation)-Cost,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6B3,102,6b3. No till (all years of rotation)-Don't know enough,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6B4,103,6b4. No till (all years of rotation)-NA,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6B5,104,6b5. No till (all years of rotation)-Rented,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,8,Right,F8,F8,9
Q6B6,105,6b6. No till (all years of rotation)-Other,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6C1,106,6c1. Strip tillage-Risk,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6C2,107,6c2. Strip tillage-Cost,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6C3,108,6c3. Strip tillage-Don't know enough,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6C4,109,6c4. Strip tillage-NA,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6C5,110,6c5. Strip tillage-Rented,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,8,Right,F8,F8,9
Q6C6,111,6c5. Strip tillage-Other,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6D1,112,6d1. In-field buffer strips to filter nutrients and sediment-Risk,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6D2,113,6d2. In-field buffer strips to filter nutrients and sediment-Cost,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6D3,114,6d3. In-field buffer strips to filter nutrients and sediment-Don't know enough,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6D4,115,6d4. In-field buffer strips to filter nutrients and sediment-NA,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6D5,116,6d5. In-field buffer strips to filter nutrients and sediment-Rented,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,8,Right,F8,F8,9
Q6D6,117,6d6. In-field buffer strips to filter nutrients and sediment-Other,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6E1,118,6e1. Buffers along streams or field edges to filter...-Risk,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6E2,119,6e2. Buffers along streams or field edges to filter...-Cost,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6E3,120,6e3. Buffers along streams or field edges to filter...-Don't know enough,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6E4,121,6e4. Buffers along streams or field edges to filter...-NA,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6E5,122,6e5. Buffers along streams or field edges to filter...-Rented,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,8,Right,F8,F8,9
Q6E6,123,6e5. Buffers along streams or field edges to filter...-Other,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6F1,124,6f1. Bioreactor(s)-Risk,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6F2,125,6f2. Bioreactor(s)-Cost,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6F3,126,6f3. Bioreactor(s)-Don't know enough,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6F4,127,6f4. Bioreactor(s)-NA,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6F5,128,6f5. Bioreactor(s)-Rented,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,8,Right,F8,F8,9
Q6F6,129,6f6. Bioreactor(s)-Other,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6G1,130,6g1. Spring nitrogen application-Risk,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6G2,131,6g2. Spring nitrogen application-Cost,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6G3,132,6g3. Spring nitrogen application-Don't know enough,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6G4,133,6g4. Spring nitrogen application-NA,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6G5,134,6g5. Spring nitrogen application-Rented,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,8,Right,F8,F8,9
Q6G6,135,6g6. Spring nitrogen application-Other,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6H1,136,6h1. Growing season nitrogen application-Risk,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6H2,137,6h2. Growing season nitrogen application-Cost,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6H3,138,6h3. Growing season nitrogen application-Don't know enough,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6H4,139,6h4. Growing season nitrogen application-NA,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6H5,140,6h5. Growing season nitrogen application-Rented,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,8,Right,F8,F8,9
Q6H6,141,6h6. Growing season nitrogen application-Other,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6I1,142,6i1. Variable rate N application-Risk,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6I2,143,6i2. Variable rate N application-Cost,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6I3,144,6i3. Variable rate N application-Don't know enough,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6I4,145,6i4. Variable rate N application-NA,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6I5,146,6i5. Variable rate N application-Rented,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,8,Right,F8,F8,9
Q6I6,147,6i6. Variable rate N application-Other,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6J1,148,6j1. Nitrogen rate based on Corn N rate calculator (MRTN)-Risk,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6J2,149,6j2. Nitrogen rate based on Corn N rate calculator (MRTN)-Cost,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6J3,150,6j3. Nitrogen rate based on Corn N rate calculator (MRTN)-Don't know enough,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6J4,151,6j4. Nitrogen rate based on Corn N rate calculator (MRTN)-NA,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6J5,152,6j5. Nitrogen rate based on Corn N rate calculator (MRTN)-Rented,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,8,Right,F8,F8,9
Q6J6,153,6j6. Nitrogen rate based on Corn N rate calculator (MRTN)-Other,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
